Date,Variacion_IPC,IPC_suma
1987-10-01,0.6,275.90000000000003
1987-11-01,-0.2,275.70000000000005
1987-12-01,0.4,276.1
1988-01-01,0.6,276.70000000000005
1988-02-01,0.3,277.00000000000006
1988-03-01,0.7,277.70000000000005
1988-04-01,-0.3,277.40000000000003
1988-05-01,0.0,277.40000000000003
1988-06-01,0.4,277.8
1988-07-01,1.3,279.1
1988-08-01,1.0,280.1
1988-09-01,0.9,281.0
1988-10-01,0.1,281.1
1988-11-01,-0.1,281.0
1988-12-01,0.8,281.8
1989-01-01,1.2,283.0
1989-02-01,0.1,283.1
1989-03-01,0.6,283.70000000000005
1989-04-01,0.3,284.00000000000006
1989-05-01,0.1,284.1000000000001
1989-06-01,0.5,284.6000000000001
1989-07-01,1.6,286.2000000000001
1989-08-01,0.2,286.4000000000001
1989-09-01,1.1,287.5000000000001
1989-10-01,0.4,287.9000000000001
1989-11-01,0.2,288.1000000000001
1989-12-01,0.4,288.50000000000006
1990-01-01,1.0,289.50000000000006
1990-02-01,0.6,290.1000000000001
1990-03-01,0.4,290.50000000000006
1990-04-01,0.2,290.70000000000005
1990-05-01,0.0,290.70000000000005
1990-06-01,0.3,291.00000000000006
1990-07-01,1.3,292.30000000000007
1990-08-01,0.4,292.70000000000005
1990-09-01,1.1,293.80000000000007
1990-10-01,0.9,294.70000000000005
1990-11-01,-0.1,294.6
1990-12-01,0.2,294.8
1991-01-01,1.2,296.0
1991-02-01,-0.1,295.9
1991-03-01,0.3,296.2
1991-04-01,0.2,296.4
1991-05-01,0.3,296.7
1991-06-01,0.3,297.0
1991-07-01,1.2,298.2
1991-08-01,0.4,298.59999999999997
1991-09-01,0.8,299.4
1991-10-01,0.6,300.0
1991-11-01,0.2,300.2
1991-12-01,0.1,300.3
1992-01-01,1.6,301.90000000000003
1992-02-01,0.7,302.6
1992-03-01,0.4,303.0
1992-04-01,-0.1,302.9
1992-05-01,0.3,303.2
1992-06-01,0.0,303.2
1992-07-01,0.3,303.5
1992-08-01,0.9,304.4
1992-09-01,0.8,305.2
1992-10-01,0.1,305.3
1992-11-01,0.1,305.40000000000003
1992-12-01,0.3,305.70000000000005
1993-01-01,0.9,306.6
1993-02-01,0.0,306.6
1993-03-01,0.4,307.0
1993-04-01,0.4,307.4
1993-05-01,0.3,307.7
1993-06-01,0.2,307.9
1993-07-01,0.4,308.29999999999995
1993-08-01,0.6,308.9
1993-09-01,0.6,309.5
1993-10-01,0.4,309.9
1993-11-01,0.2,310.09999999999997
